,train_loss,train_acc,val_loss,val_acc
0,1.6003774208493862,0.49070631970260226,1.2571991840442578,0.6031468531468531
1,0.960795642235804,0.7074130767548655,1.0076306691536536,0.7071678321678322
2,0.6971470186519018,0.7837305926087907,0.8329881287954904,0.7534965034965035
3,0.5266299493824291,0.8381806254100154,0.7319507392553183,0.8120629370629371
4,0.4086271058201868,0.8698884758364313,0.6680271793287117,0.8295454545454546
5,0.3245946240619317,0.892849333041767,0.6321165164659074,0.8461538461538461
6,0.271655974817203,0.9099059698228734,0.6064815161736695,0.8601398601398601
7,0.16766367862789214,0.9512355127924776,0.5845157174015796,0.868006993006993
8,0.13799793575763078,0.9606385305051389,0.5828243426822283,0.8706293706293706
9,0.12372330004964802,0.9667614257598951,0.591112381329278,0.8706293706293706
10,0.11483193042761591,0.9698228733872731,0.5939326920917818,0.8741258741258742
11,0.10766027715825328,0.9711349223704352,0.6031238038118902,0.8767482517482518
12,0.1020476169136377,0.9744150448283403,0.61572800102559,0.8784965034965035
13,0.09721996574264477,0.9746337196588674,0.6118375929658646,0.8741258741258742
14,0.08540404793962579,0.9805379400830965,0.611126444693264,0.8767482517482518
15,0.08431522357738855,0.9818499890662585,0.6122753134036397,0.8776223776223776
16,0.08352745694702782,0.9827246883883666,0.6141452243799096,0.8767482517482518
17,0.08300714001382124,0.9820686638967855,0.6155307564649966,0.8776223776223776
18,0.08239956510251417,0.9827246883883666,0.6163917394628474,0.8776223776223776
19,0.08180649065437631,0.9825060135578395,0.6176770092150965,0.8776223776223776
